SYMBOL,IB,NAME
CHOLAFIN,CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED
HAVELLS,HAVELLS,HAVELLS INDIA LIMITED
ADANIENSOL,ADANIENSO,ADANI ENERGY SOLUTIONS LIMITED
CGPOWER,CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED
TORNTPHARM,TORNTPHAR,TORRENT PHARMACEUTICALS LIMITED
DRREDDY,DRREDDY,DR. REDDY'S LABORATORIES LIMITED
ZYDUSLIFE,ZYDUSLIFE,ZYDUS LIFESCIENCES LIMITED
TATACONSUM,TATACONSU,TATA CONSUMER PRODUCTS LIMITED
UNITDSPR,UNITDSPR,UNITED SPIRITS LIMITED
RVNL,RVNL,RAIL VIKAS NIGAM LIMITED
HEROMOTOCO,HEROMOTOC,HERO MOTOCORP LIMITED
DABUR,DABUR,DABUR INDIA LIMITED
ICICIPRULI,ICICIPRUL,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED
BOSCHLTD,BOSCHLTD,BOSCH LIMITED
POLYCAB,POLYCAB,POLYCAB INDIA LIMITED
INDUSTOWER,INDUSTOWE,INDUS TOWERS LIMITED
CUMMINSIND,CUMMINSIN,CUMMINS INDIA LIMITED
NAUKRI,NAUKRI,INFO EDGE (INDIA) LIMITED
INDHOTEL,INDHOTEL,THE INDIAN HOTELS COMPANY LIMITED
APOLLOHOSP,APOLLOHOS,APOLLO HOSPITALS ENTERPRISE LIMITED
MANKIND,MANKIND,MANKIND PHARMA LIMITED
OFSS,OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED
INDUSINDBK,INDUSINDB,INDUSIND BANK LIMITED
ICICIGI,ICICIGI,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED
JINDALSTEL,JINDALSTE,JINDAL STEEL & POWER LIMITED
SOLARINDS,SOLARINDS,SOLAR INDUSTRIES INDIA LIMITED
CANBK,CANBK,CANARA BANK
LUPIN,LUPIN,LUPIN LIMITED
MAXHEALTH,MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED
SUZLON,SUZLON,SUZLON ENERGY LIMITED
BHEL,BHEL,BHARAT HEAVY ELECTRICALS LIMITED
UNIONBANK,UNIONBANK,UNION BANK OF INDIA
SHREECEM,SHREECEM,SHREE CEMENT LIMITED
NHPC,NHPC,NHPC LIMITED
HDFCAMC,HDFCAMC,HDFC ASSET MANAGEMENT COMPANY LIMITED
MAZDOCK,MAZDOCKS.,MAZAGON DOCK SHIPBUILDERS LIMITED
OIL,OIL,OIL INDIA LIMITED
COLPAL,COLPAL,COLGATE PALMOLIVE (INDIA) LIMITED
DIXON,DIXON,DIXON TECHNOLOGIES (INDIA) LIMITED
MARICO,MARICO,MARICO LIMITED
PERSISTENT,PERSISTEN,PERSISTENT SYSTEMS LIMITED
HINDPETRO,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LIMITED
GODREJPROP,GODREJPRO,GODREJ PROPERTIES LIMITED
TORNTPOWER,TORNTPOWE,TORRENT POWER LIMITED
GMRAIRPORT,GMRAIRPOR,GMR AIRPORTS LIMITED
AUROPHARMA,AUROPHARM,AUROBINDO PHARMA LIMITED
IDEA,IDEA,VODAFONE IDEA LIMITED
POLICYBZR,POLICYBZR,PB FINTECH LIMITED
TIINDIA,TIINDIA,TUBE INVESTMENTS OF INDIA LIMITED
MUTHOOTFIN,MUTHOOTFI,MUTHOOT FINANCE LIMITED
INDIANB,INDIANB,INDIAN BANK
PRESTIGE,PRESTIGE,PRESTIGE ESTATES PROJECTS LIMITED
IRCTC,IRCTC,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED
SRF,SRF,SRF LIMITED
YESBANK,YESBANK,YES BANK LIMITED
BHARATFORG,BHARATFOR,BHARAT FORGE LIMITED
OBEROIRLTY,OBEROIRLT,OBEROI REALTY LIMITED
SBICARD,SBICARD,SBI CARDS AND PAYMENT SERVICES LIMITED
ASHOKLEY,ASHOKLEY,ASHOK LEYLAND LIMITED
ALKEM,ALKEM,ALKEM LABORATORIES LIMITED
KALYANKJIL,KALYANKJI,KALYAN JEWELLERS INDIA LIMITED
NMDC,NMDC,NMDC LIMITED
PIIND,PIIND,PI INDUSTRIES LIMITED
SUPREMEIND,SUPREMEIN,SUPREME INDUSTRIES LIMITED
PATANJALI,PATANJALI,PATANJALI FOODS LIMITED
PHOENIXLTD,PHOENIXLT,THE PHOENIX MILLS LIMITED
IREDA,IREDA,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED
UNOMINDA,UNOMINDA,UNO MINDA LIMITED
VOLTAS,VOLTAS,VOLTAS LIMITED
MPHASIS,MPHASIS,MPHASIS LIMITED
CONCOR,CONCOR,CONTAINER CORPORATION OF INDIA LIMITED
ABCAPITAL,ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED
POWERINDIA,POWERINDI,HITACHI ENERGY INDIA LIMITED
SAIL,SAIL,STEEL AUTHORITY OF INDIA LIMITED
NYKAA,NYKAA,FSN E COMMERCE VENTURES LIMITED
ASTRAL,ASTRAL,ASTRAL LIMITED
IDFCFIRSTB,IDFCFIRST,IDFC FIRST BANK LIMITED
PETRONET,PETRONET,PETRONET LNG LIMITED
BANKINDIA,BANKINDIA,BANK OF INDIA
HUDCO,HUDCO,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED
BSE,BSE,BSE LIMITED
FEDERALBNK,FEDERALBN,THE FEDERAL BANK  LIMITED
PAGEIND,PAGEIND,PAGE INDUSTRIES LIMITED
COFORGE,COFORGE,COFORGE LIMITED
AUBANK,AUBANK,AU SMALL FINANCE BANK LIMITED
BDL,BDL,BHARAT DYNAMICS LIMITED
KPITTECH,KPITTECH,KPIT TECHNOLOGIES LIMITED
TATAELXSI,TATAELXSI,TATA ELXSI LIMITED
GLENMARK,GLENMARK,GLENMARK PHARMACEUTICALS LIMITED
FORTIS,FORTIS,FORTIS HEALTHCARE LIMITED
PAYTM,PAYTM,ONE 97 COMMUNICATIONS LIMITED
BIOCON,BIOCON,BIOCON LIMITED
UPL,UPL,UPL LIMITED
JUBLFOOD,JUBLFOOD,JUBILANT FOODWORKS LIMITED
APLAPOLLO,APLAPOLLO,APL APOLLO TUBES LIMITED
EXIDEIND,EXIDEIND,EXIDE INDUSTRIES LIMITED
SONACOMS,SONACOMS,SONA BLW PRECISION FORGINGS LIMITED
TATATECH,TATATECH,TATA TECHNOLOGIES LIMITED
LTF,LTF,L&T FINANCE LIMITED
360ONE,360ONE,360 ONE WAM LIMITED
MFSL,MFSL,MAX FINANCIAL SERVICES LIMITED
KEI,KEI,KEI INDUSTRIES LIMITED
NATIONALUM,NATIONALU,NATIONAL ALUMINIUM COMPANY LIMITED
BLUESTARCO,BLUESTARC,BLUE STAR LIMITED
LICHSGFIN,LICHSGFIN,LIC HOUSING FINANCE LIMITED
DALBHARAT,DALBHARAT,DALMIA BHARAT LIMITED
SYNGENE,SYNGENE,SYNGENE INTERNATIONAL LIMITED
KAYNES,KAYNES,KAYNES TECHNOLOGY INDIA LIMITED
IGL,IGL,INDRAPRASTHA GAS LIMITED
CDSL,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED
BANDHANBNK,BANDHANBN,BANDHAN BANK LIMITED
NBCC,NBCC,NBCC (INDIA) LIMITED
PPLPHARMA,PPLPHARMA,PIRAMAL PHARMA LIMITED
DELHIVERY,DELHIVERY,DELHIVERY LIMITED
TATACHEM,TATACHEM,TATA CHEMICALS LIMITED
CROMPTON,CROMPTON,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED
INOXWIND,INOXWIND,INOX WIND LIMITED
LAURUSLABS,LAURUSLAB,LAURUS LABS LIMITED
ANGELONE,ANGELONE,ANGEL ONE LIMITED
PNBHOUSING,PNBHOUSIN,PNB HOUSING FINANCE LIMITED
NUVAMA,NUVAMA,NUVAMA WEALTH MANAGEMENT LIMITED
CAMS,CAMS,COMPUTER AGE MANAGEMENT SERVICES LIMITED
CYIENT,CYIENT,CYIENT LIMITED
NCC,NCC,NCC LIMITED
IIFL,IIFL,IIFL FINANCE LIMITED
HFCL,HFCL,HFCL LIMITED
TITAGARH,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED
KFINTECH,KFINTECH,KFIN TECHNOLOGIES LIMITED
AMBER,AMBER,AMBER ENTERPRISES INDIA LIMITED
IEX,IEX,INDIAN ENERGY EXCHANGE LIMITED
MANAPPURAM,MANAPPURA,MANAPPURAM FINANCE LIMITED
PGEL,PGEL,PG ELECTROPLAST LIMITED
RBLBANK,RBLBANK,RBL BANK LIMITED
SAMMAANCAP,SAMMAANCA,SAMMAAN CAPITAL LIMITED
ETERNAL,ETERNAL,ETERNAL LIMITED
MCX,MCX,MULTI COMMODITY EXCHANGE OF INDIA LIMITED
